,title,year,genre,country,avg_vote,budget,worlwide_gross_income
61165,Nella terra del sangue e del miele,2011,"Drama, Romance, War",USA,4.5,13000000,1203699
61207,Una famiglia all'improvviso,2012,"Comedy, Drama",USA,7.1,16000000,12558931
61231,Snake & Mongoose,2013,Sport,USA,5.7,3000000,152200
61237,Another Happy Day,2011,"Comedy, Drama",USA,6.1,4000000,659937
61261,Friends with Kids,2011,"Comedy, Drama, Romance",USA,6.1,10000000,13041254
61324,Killer Joe,2011,"Crime, Drama, Thriller",USA,6.7,11000000,4633668
61341,C'era una volta un'estate,2013,"Comedy, Drama",USA,7.4,5000000,26474920
61351,Manuale scout per l'apocalisse zombie,2015,"Action, Comedy, Horror",USA,6.3,15000000,16137046
61407,Ender's Game,2013,"Action, Adventure, Fantasy",USA,6.6,110000000,125544024
61411,Barely Lethal - 16 anni e spia,2015,"Action, Comedy",USA,5.4,15000000,933847
61524,I truffatori,2013,"Action, Comedy, Crime",USA,5.9,5000000,10080
61536,Jersey Boys,2014,"Biography, Drama, Music",USA,6.8,40000000,67647013
61541,Sabotage,2014,"Action, Crime, Drama",USA,5.7,35000000,22126842
61544,Ma come fa a far tutto?,2011,"Comedy, Romance",USA,4.9,24000000,31410151
61585,Moonrise Kingdom - Una fuga d'amore,2012,"Comedy, Drama, Romance",USA,7.8,16000000,68263166
61591,Setup,2011,"Action, Crime, Drama",USA,4.4,20000000,2140476
61594,The Collection,2012,"Action, Adventure, Crime",USA,6.1,7500000,9929706
61673,The Ghastly Love of Johnny X,2012,"Comedy, Fantasy, Musical",USA,5.6,2000000,2436
61710,Twixt,2011,"Comedy, Fantasy, Horror",USA,4.8,7000000,647839
61724,Blue Like Jazz,2012,"Comedy, Drama",USA,5.9,1200000,595018
61726,Unconditional,2012,"Biography, Crime, Drama",USA,7.2,2000000,1034448
61731,The Do List - L'estate prima del college,2013,"Comedy, Romance",USA,5.8,1500000,3909596
61733,Questi sono i 40,2012,"Comedy, Romance",USA,6.2,35000000,88215156
61740,Persecuted,2014,"Action, Drama, Mystery",USA,3.5,1500000,1558836
61753,The First Time,2012,"Comedy, Drama, Romance",USA,6.8,2000000,92654
61760,Cogan - Killing Them Softly,2012,"Crime, Drama, Thriller",USA,6.2,15000000,37930465
61800,The Curse of Downers Grove,2015,"Drama, Horror, Mystery",USA,4.5,2000000,33462
61805,La canzone della vita - Danny Collins,2015,"Biography, Comedy, Drama",USA,7.0,10000000,10835752
61809,Ralph Spaccatutto,2012,"Animation, Adventure, Comedy",USA,7.7,165000000,471222889
61855,Mara,2018,"Crime, Horror, Thriller",USA,5.1,5000000,661769
61875,50 a 1,2014,Drama,USA,6.4,10000000,1064454
61880,Paranormal Activity 3,2011,"Horror, Mystery, Thriller",USA,5.8,5000000,207039844
61885,L'ultima ricchezza,2013,"Drama, Romance",USA,5.8,3100000,1327841
61900,Beneath the Darkness,2011,"Horror, Thriller",USA,4.5,7300000,23998
61965,The Vault - Nessuno è al sicuro,2017,"Crime, Horror, Mystery",USA,4.8,5000000,346729
61976,CBGB,2013,"Crime, Drama, Music",USA,6.6,5000000,40400
62005,Candidato a sorpresa,2012,Comedy,USA,6.1,95000000,104907746
62007,Vizio di forma,2014,"Comedy, Crime, Drama",USA,6.7,20000000,14710975
62012,Giovani si diventa,2014,"Comedy, Drama, Mystery",USA,6.3,10000000,21075757
62036,Sal,2011,"Biography, Drama",USA,4.8,7000000,6883
62053,Savannah,2013,"Drama, Family, History",USA,5.9,5000000,37240
62065,Ti lascio la mia canzone,2014,"Comedy, Drama, Music",USA,7.5,5000000,546149
62068,Babbo bastardo 2,2016,"Comedy, Crime, Drama",USA,5.6,26000000,24079268
62072,Lei,2013,"Drama, Romance, Sci-Fi",USA,8.0,23000000,48517427
62082,Quel momento imbarazzante,2014,"Comedy, Romance",USA,6.1,8000000,45640143
62083,Gold - La grande truffa,2016,"Crime, Drama",USA,6.7,20000000,14880939
62095,Step Up 4 Revolution 3D,2012,"Drama, Music, Romance",USA,6.4,33000000,140470746
62134,As I Lay Dying,2013,Drama,USA,5.4,5000000,71759
62171,Unbroken,2014,"Biography, Drama, Sport",USA,7.2,65000000,161459297
62201,Admission - Matricole dentro o fuori,2013,"Comedy, Drama, Romance",USA,5.7,13000000,18637201
62221,Freelancers,2012,"Action, Crime, Drama",USA,4.7,11000000,456350
62235,After Earth,2013,"Action, Adventure, Sci-Fi",USA,4.8,130000000,243611982
62252,Come un tuono,2012,"Crime, Drama, Thriller",USA,7.3,15000000,47052899
62253,A Resurrection,2013,"Horror, Thriller",USA,3.9,5000000,10730
62255,Girl in Progress,2012,"Comedy, Drama",USA,5.6,5000000,4709246
62292,Nebraska,2013,"Adventure, Comedy, Drama",USA,7.7,12000000,27682872
62326,Annie - La felicità è contagiosa,2014,"Comedy, Drama, Family",USA,5.3,65000000,136853506
62334,Black Panther,2018,"Action, Adventure, Sci-Fi",USA,7.3,200000000,1347280838
62342,3 Geezers!,2013,Comedy,USA,3.3,1000000,4175
62353,About Last Night,2014,"Comedy, Romance",USA,6.1,12500000,50445860
62474,The Baytown Outlaws - I fuorilegge,2012,"Action, Comedy, Crime",USA,6.4,4000000,37470
62486,Storia d'inverno,2014,"Drama, Fantasy, Mystery",USA,6.2,60000000,30800231
62506,Ruby Sparks,2012,"Comedy, Drama, Fantasy",USA,7.2,8000000,9368803
62511,The Face of Love,2013,"Drama, Mystery, Romance",USA,6.2,4000000,1806548
62514,Divergent,2014,"Action, Adventure, Mystery",USA,6.7,85000000,288885818
62517,The Words,2012,"Drama, Mystery, Romance",USA,7.0,6000000,15950164
